Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2023-2024,Even,PHY552,57,55,2,2,AVINASH  SINGH,3,15,6,,3,3,15,5,5,,,,,,,,,,,,,,,,,,,CLASSICAL ELECTRODYNAMICS I,AgACAgUAAyEGAASewoS2AAIHGWgh1CcBT-ioK6lLYVcQZ5NzaWb0AAItyjEbsCkQVV184le2iSU1AQADAgADdwADNgQ
2023-2024,Even,PHY462,48,48,,,ZAKIR  HOSSAIN,,,,,13,12,14,5,4,,,,,,,,,,,,,,,,,,,EXPERIMENTAL PHYSICS II,AgACAgUAAyEGAASewoS2AAIHGmgh1C3mAh1Io8rEnU-FJhzea1SgAAIuyjEbsCkQVRyfSosRg0-oAQADAgADdwADNgQ
2023-2024,Even,PHY473,56,55,1,1,Gopal  Hazra,4,6,3,1,2,6,15,8,10,,,,,,,,,,,,,,,,,,,COMPUTATIONAL PHYSICS,AgACAgUAAyEGAASewoS2AAIHG2gh1DSrPWidMFXvVbJFcGmQftwZAAIvyjEbsCkQVSbydgtsB0GYAQADAgADdwADNgQ
2023-2024,Even,PHY473A,39,38,1,1,Gopal  Hazra,2,3,2,2,7,4,6,6,6,,,,,,,,,,,,,,,,,,,COMPUTATIONAL PHYSICS,AgACAgUAAyEGAASewoS2AAIHHGgh1Dqp9o6U4O-yzyLm6NE6Atz_AAIwyjEbsCkQVVTGNsc3-u5MAQADAgADdwADNgQ
2023-2024,Even,PHY432,55,55,,,Debtosh  Chowdhury,5,,1,,5,11,12,10,11,,,,,,,,,,,,,,,,,,,QUANTUM MECHANICS II,AgACAgUAAyEGAASewoS2AAIHHWgh1EAxnyPpMSYjduuZeJQ2cXS1AAIxyjEbsCkQVQABw8lcxwzYtwEAAwIAA3cAAzYE
2023-2024,Even,PHY461,24,23,1,1,ZAKIR  HOSSAIN,,,,,3,6,5,5,4,,,,,,,,,,,,,,,,,,,EXPERIMENTAL PHYSICS I,AgACAgUAAyEGAASewoS2AAIHHmgh1EfgTUvM4XZLovJyK8Aa5ZF9AAIyyjEbsCkQVeSKKqPSsHaXAQADAgADdwADNgQ
2023-2024,Even,PHY412,58,56,2,2,Jayanta Kumar Bhattacharjee,7,,,,3,3,15,14,14,,,,,,,,,,,,,,,,,,,STATISTICAL MECHANICS,AgACAgUAAyEGAASewoS2AAIHH2gh1E1dnyiyXaMSo3IBfzLgqxLoAAI0yjEbsCkQVQABNJxjXgbnWgEAAwIAA3cAAzYE
2023-2024,Even,CS253,175,171,4,4,INDRANIL  SAHA,6,1,1,1,39,66,35,12,10,,,,,,,,,,,,,,,,,,,SOFTWARE DEVELOPMENT AND OPERATIONS,AgACAgUAAyEGAASewoS2AAIHIGgh1FMAAbBEHw_f-_qH6spjV3PUhQACNcoxG7ApEFW_OBEzMuY7CgEAAwIAA3cAAzYE
2023-2024,Even,AE648,19,18,1,1,Raghavendra  P Kukillaya,,,1,,4,7,5,1,,,,,,,,,,,,,,,,,,,,FLIGHT STABILITY AND CONTROL,AgACAgUAAyEGAASewoS2AAIHIWgh1Fkg0OlgsXaWNWnSNo3qp2_6AAI2yjEbsCkQVVaco0dFPV7HAQADAgADdwADNgQ
2023-2024,Even,AE659M,14,13,1,1,RAJESH  KITEY,,,,,7,,3,3,,,,,,,,,,,,,,,,,,,,COMPOSITES AND APPLICATION,AgACAgUAAyEGAASewoS2AAIHImgh1GB_KSUhAdtczT_l-gxi0ERNAAI3yjEbsCkQVcrsE-21Il4fAQADAgADdwADNgQ
2023-2024,Even,AE661,40,35,5,5,Rajesh  Ranjan,,,,2,6,14,6,5,1,,1,,,,,,,,,,,,,,,,,APPLIED COMPUTATIONAL FLUID DYNAMICS,AgACAgUAAyEGAASewoS2AAIHI2gh1GZade7t9OqVXlueuobGL4MnAAI4yjEbsCkQVYQmrofjSNk7AQADAgADdwADNgQ
2023-2024,Even,AE666,24,23,1,1,ABHIJIT KUSHARI,,,1,,5,2,7,6,2,,,,,,,,,,,,,,,,,,,COMBUSTION DIAGNOSTICS,AgACAgUAAyEGAASewoS2AAIHJGgh1Gy5qakqpjyLeBA74wb12Kx0AAI5yjEbsCkQVatdvq6kaf-VAQADAgADdwADNgQ
2023-2024,Even,CGS698C,72,65,7,7,Himanshu  Yadav,2,2,,3,6,13,19,15,4,,1,,,,,,,,,,,,,,,,,BAYESIAN MODELS & DATA ANALYSIS,AgACAgUAAyEGAASewoS2AAIHJWgh1HMVHYgsVHYVFVyS1-EyVcY8AAI6yjEbsCkQVRekW0rytCsEAQADAgADdwADNgQ
2023-2024,Even,CGS698E,7,5,2,2,DEVPRIYA  KUMAR,,,,1,,2,2,,,,,,,,,,,,,,,,,,,,,TOPICS IN VISUAL PERCEPTION,AgACAgUAAyEGAASewoS2AAIHJmgh1HnDoeLAeml2j01UJsLISK6QAAI7yjEbsCkQVcDnxJagznUnAQADAgADdwADNgQ
2023-2024,Even,CGS698G,12,11,1,1,Narayanan  Srinivasan,1,,,,,4,3,1,2,,,,,,,,,,,,,,,,,,,MIND : PHILOSOPHICAL INVESTIGATIONS,AgACAgUAAyEGAASewoS2AAIHJ2gh1H-fA2seaNlKVx7GDkobY5VDAAI8yjEbsCkQVRoZbv8fMfm3AQADAgADdwADNgQ
2023-2024,Even,CGS702,2,2,,,DPGCCGS,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,PROJECT,AgACAgUAAyEGAASewoS2AAIHKGgh1IXjCtZRbWSd_PE_KE1VPn5wAAI9yjEbsCkQVUlr8OB9WtUPAQADAgADdwADNgQ
2023-2024,Even,CGS702A,3,2,1,1,ARK  VERMA,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,PROJECT,AgACAgUAAyEGAASewoS2AAIHKWgh1ItmDmkVqt8-74gndoTbXVOXAAI-yjEbsCkQVc3rA2c7CNchAQADAgADdwADNgQ
2023-2024,Even,CGS786,15,14,1,1,Pragathi P Balasubramani,,,,1,7,2,2,1,,,,,,,,,,,,,,,,,,,,COMPUTATIONAL COGNITIVE SCIENCE,AgACAgUAAyEGAASewoS2AAIHKmgh1JGf7_JCZgh6Zy2VrypRtrakAAI_yjEbsCkQVf_bB1NLYu7kAQADAgADdwADNgQ
2023-2024,Even,CGS799,20,20,,,DPGCCGS,,,,,,,,,,,,,,7,8,5,,,,,,,,,,,,PHD THESIS,AgACAgUAAyEGAASewoS2AAIHK2gh1JjTzL2P20N0DB59kOai38tUAAJAyjEbsCkQVRD-AX0oaffBAQADAgADdwADNgQ
2023-2024,Even,CGS888,11,10,1,1,Nisheeth  Srivastava,,,,,4,3,3,,,,,,,,,,,,,,,,,,,,,INTRODUCTION TO PROFESSION AND SCIENTIFIC COMMUNICATION,AgACAgUAAyEGAASewoS2AAIHLGgh1J4XCirb3wKZqdfxrgiA5SuuAAJByjEbsCkQVe0TqItWFNwSAQADAgADdwADNgQ
2023-2024,Even,CGS899,11,11,,,DPGCCGS,,,,,,,,,,,,,,,5,4,1,,,,,,,,,,,MS - RESEARCH THESIS,AgACAgUAAyEGAASewoS2AAIHLWgh1KQridy2P2bFgNE4Fr21q6PvAAJCyjEbsCkQVf__MzKtHNGAAQADAgADdwADNgQ
2023-2024,Even,CHE200,112,107,5,5,SANJEEV GARG,,,,,,,,,,,107,,,,,,,,,,,,,,,,,CHEMICAL ENGINEERING COMMUNICATION SKILLS,AgACAgUAAyEGAASewoS2AAIHLmgh1Kry7WIDGH2r5vHnhiDma1H6AAJDyjEbsCkQVbfLrGeeg6jVAQADAgADdwADNgQ
2023-2024,Even,CS772,101,80,21,19,PIYUSH  RAI,,,,5,22,33,14,5,1,,,,,,,,,,,,,,,,,,,PROBABILISTIC MACHINE LEARNING,AgACAgUAAyEGAASewoS2AAIHL2gh1LG-xqdKhBZMcYXkRqGLU1gZAAJEyjEbsCkQVcvUhHbTk1LfAQADAgADdwADNgQ
2023-2024,Even,CS777,4,3,1,1,Sutanu  Gayen,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,TOPICS IN LEARNING THEORY,AgACAgUAAyEGAASewoS2AAIHMGgh1LchspABc14m1nLYn0pCBFvaAAJFyjEbsCkQVUnJ2JwFJNJPAQADAgADdwADNgQ
2023-2024,Even,CS780,21,21,,,Ashutosh  Modi,,,,,6,4,6,2,2,1,,,,,,,,,,,,,,,,,,DEEP REINFORCEMENT LEARNING,AgACAgUAAyEGAASewoS2AAIHMWgh1L2pr7Kg63hfrNZIWy3eVdGDAAJGyjEbsCkQVXFFH3tSZrpdAQADAgADdwADNgQ
2023-2024,Even,CS797,2,2,,,DPGCCSE,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,SPECIAL TOPICS IN COMPUTER SCIENCE,AgACAgUAAyEGAASewoS2AAIHMmgh1MNA-nNZdXde1TQYJcgeTdB7AAJHyjEbsCkQVbjKVQx8Sz9OAQADAgADdwADNgQ
2023-2024,Even,CS798H,154,113,41,41,Sruti Srinivasa Ragavan,8,5,1,,,18,29,33,19,,,,,,,,,,,,,,,,,,,HUMAN COMPUTER INTERACTION,AgACAgUAAyEGAASewoS2AAIHM2gh1MoKl-5k_3tCb6XzPq3bu7__AAJIyjEbsCkQVRT-hnSExAUqAQADAgADdwADNgQ
2023-2024,Even,CS648,59,48,11,11,SURENDER  BASWANA,,,,6,12,1,12,11,6,,,,,,,,,,,,,,,,,,,RANDOMIZED ALGORITHMS,AgACAgUAAyEGAASewoS2AAIHNGgh1NBtIsV0bMy4llutvR-cmJtZAAJJyjEbsCkQVSVPEELkw8JuAQADAgADdwADNgQ
2023-2024,Even,CS656,32,24,8,8,SUNIL EASAW  SIMON,,,,2,12,5,4,1,,,,,,,,,,,,,,,,,,,,ALGORITHMIC GAME THEORY,AgACAgUAAyEGAASewoS2AAIHNWgh1NbNv2xm_5XYTfm1F1e8O5AwAAJKyjEbsCkQVYxovXunLHCqAQADAgADdwADNgQ
2023-2024,Even,CHM342A,28,28,,,SANKAR PRASAD  RATH,2,1,,2,3,5,9,2,4,,,,,,,,,,,,,,,,,,,INORGANIC CHEMISTRY -II,AgACAgUAAyEGAASewoS2AAIHNmgh1N1NgAsTIUv06QMlc_Bt5XjHAAJLyjEbsCkQVTVzmNzjBEFxAQADAgADdwADNgQ
2023-2024,Even,CHM392A,9,9,,,DUGCCHM,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,UG PROJECT II,AgACAgUAAyEGAASewoS2AAIHN2gh1OOxnBHPJPb2KJg_przzTh8XAAJMyjEbsCkQVUBqYXO_n8ksAQADAgADdwADNgQ
2023-2024,Even,CHM402,46,46,,,DATTATRAYA H  DETHE,,,,3,13,15,7,8,,,,,,,,,,,,,,,,,,,,ORGANIC CHEMISTRY II,AgACAgUAAyEGAASewoS2AAIHOGgh1OnODRCeR8IHgD7fwJj1AnLPAAJOyjEbsCkQVbmagW3bVg2KAQADAgADdwADNgQ
2023-2024,Even,EE615,31,29,2,2,S SUNDAR KUMAR  IYER,,,,,3,11,6,7,2,,,,,,,,,,,,,,,,,,,HIGH FREQUENCY SEMICONDUCTOR DEVICES AND CIRCUITS,AgACAgUAAyEGAASewoS2AAIHOWgh1PDUaxnsfXws6A1bUG3ZZmjEAAJPyjEbsCkQVa55Kt1frO-UAQADAgADdwADNgQ
2023-2024,Even,EE623,40,35,5,5,AJIT K CHATURVEDI,,,1,1,12,10,10,1,,,,,,,,,,,,,,,,,,,,DETECTION & ESTIMATION THEORY,AgACAgUAAyEGAASewoS2AAIHOmgh1PZBorRD5ZfYZnzkjEjffuiuAAJQyjEbsCkQVfFazM7OePbiAQADAgADdwADNgQ
2023-2024,Even,EE633,19,16,3,3,Swathi  Battula,,,,,2,3,7,4,,,,,,,,,,,,,,,,,,,,ELECTRIC POWER SYSTEM OPERATION AND MGMT. UNDER RESTRUCTURED ENVIRONMENT,AgACAgUAAyEGAASewoS2AAIHO2gh1PzEyNplq07ih36le0JBDNUAA1HKMRuwKRBVKl_VJiCZ8DoBAAMCAAN3AAM2BA
2023-2024,Even,EE798T,20,15,5,5,KETAN  RAJAWAT,,,,,6,2,2,3,2,,,,,,,,,,,,,,,,,,,UAV COMMUNICATIONS,AgACAgUAAyEGAASewoS2AAIHPGgh1QPxvzLEBd6AKeh2cdMQYZU5AAJSyjEbsCkQVatt7p0JAyDFAQADAgADdwADNgQ
2023-2024,Even,EE798W,36,27,9,8,Tushar Balasaheb Sandhan,5,1,1,,1,,5,7,7,,,,,,,,,,,,,,,,,,,MATHEMATICAL OPTIMIZATION,AgACAgUAAyEGAASewoS2AAIHPWgh1Ql9Jdu9_K2VDL5ZGH7awyVxAAJTyjEbsCkQVZUzB-Wfv2faAQADAgADdwADNgQ
2023-2024,Even,MTH309,75,72,3,3,Suprio  Bhar,21,10,8,,2,3,3,9,16,,,,,,,,,,,,,,,,,,,PROBABILITY THEORY,AgACAgUAAyEGAASewoS2AAIHPmgh1Q-fPbPT-vA8uz_bBMJL1b0wAAJUyjEbsCkQVWeMuQLfsmtnAQADAgADdwADNgQ
2023-2024,Even,MTH312A,83,83,,,SUBHRA  SANKAR DHAR,,,,,11,36,20,12,4,,,,,,,,,,,,,,,,,,,DATA SCIENCE LAB 3,AgACAgUAAyEGAASewoS2AAIHP2gh1RYFt3rvz-aQMRjgHfSDmPoNAAJVyjEbsCkQVUtyjKig1ZWzAQADAgADdwADNgQ
2023-2024,Even,EE360A,148,140,8,8,PARTHASARATHI  SENSARMA,19,11,4,4,21,19,27,17,18,,,,,,,,,,,,,,,,,,,POWER ELECTRONICS,AgACAgUAAyEGAASewoS2AAIHQGgh1RyQIQRRHEU8Kzpt3Drz4takAAJWyjEbsCkQVcsnIO-4IlfZAQADAgADdwADNgQ
2023-2024,Even,EE381A,199,199,,,YATINDRA NATH  SINGH,,3,,29,28,96,32,7,4,,,,,,,,,,,,,,,,,,,ELECTRICAL ENGINEERING LABORATORY -II,AgACAgUAAyEGAASewoS2AAIHQWgh1SKKWTjv-iFlx8dmhxjN_8XGAAJXyjEbsCkQVUqs7se1iOp6AQADAgADdwADNgQ
2023-2024,Even,CHE619,18,10,8,8,NAVEEN  TIWARI,1,3,2,,,1,1,1,1,,,,,,,,,,,,,,,,,,,ADVANCED FLUID MECHANICS,AgACAgUAAyEGAASewoS2AAIHQmgh1SjUzF-8O6I9Hac-mvfkIj3mAAJYyjEbsCkQVcc4gB-abaSCAQADAgADdwADNgQ
2023-2024,Even,ME496A,29,25,4,4,DUGCME,,1,1,1,12,6,2,2,,,,,,,,,,,,,,,,,,,,UNDER GRADUATE PROJECT II,AgACAgUAAyEGAASewoS2AAIHQ2gh1S9Z9dAR2eWbBoJo_9gIrdPaAAJZyjEbsCkQVSruGTRg_u6wAQADAgADdwADNgQ
2023-2024,Even,MBA634,80,79,1,1,Giridhar  Vishlavath,6,5,,,7,13,14,25,9,,,,,,,,,,,,,,,,,,,CONSUMER BEHAVIOUR,AgACAgUAAyEGAASewoS2AAIHRGgh1TXguwmnY-92pZaJu3qBmnCXAAJayjEbsCkQVW1AsUEEEiDZAQADAgADdwADNgQ
2023-2024,Even,MBA661,182,182,,,"Prerna  Gautam,Suvendu  Naskar",,,,,28,77,48,22,7,,,,,,,,,,,,,,,,,,,PRODUCTION AND OPERATIONS MANAGEMENT,AgACAgUAAyEGAASewoS2AAIHRWgh1TvV0JmD0DB-PqgIAAFBXpm84AACW8oxG7ApEFUPpkmRoDGWcwEAAwIAA3cAAzYE
2023-2024,Even,ENG113,135,135,,,SUDHARSHANA  N P,7,3,1,1,13,26,64,9,11,,,,,,,,,,,,,,,,,,,LEARNING ENGLISH AS A SECOND LANGUAGE,AgACAgUAAyEGAASewoS2AAIHRmgh1UJS9f8d5Xy9_p0nQJ3nJ0BdAAJcyjEbsCkQVby_3U93Q-DzAQADAgADdwADNgQ
2023-2024,Even,ES653,32,25,7,7,RAJIV  SINHA,3,,1,2,6,4,3,3,3,,,,,,,,,,,,,,,,,,,SEDIMENTOLOGY AND BASIN ANALYSIS,AgACAgUAAyEGAASewoS2AAIHR2gh1UhZZbRiAAH-N_ufKxq2hKzVUAACXcoxG7ApEFUO5tCUHjE0ZwEAAwIAA3cAAzYE
2023-2024,Even,ES661,34,26,8,8,Deepak  Dhingra,4,,3,,2,5,5,2,5,,,,,,,,,,,,,,,,,,,PLANETARY REMOTE SENSING,AgACAgUAAyEGAASewoS2AAIHSGgh1U5QPkuUvNmZmthdQczYbavGAAJeyjEbsCkQVZeuAAHfexUmSwEAAwIAA3cAAzYE
2023-2024,Even,ESC113M,104,104,,,Harshwardhan   Hemant Katkar,13,7,2,1,9,11,18,19,19,5,,,,,,,,,,,,,,,,,,COMPUTER METHODS FOR ENGINEERS,AgACAgUAAyEGAASewoS2AAIHSWgh1VRdHj0fNFuoO8XzM_VlvxpZAAJfyjEbsCkQVRrkzxz8Cp4nAQADAgADdwADNgQ
2023-2024,Even,TA212,226,221,5,2,NIRAJ  SINHA,,,6,,11,128,55,20,1,,,,,,,,,,,,,,,,,,,MANUFACTURING PROCESSES II,AgACAgUAAyEGAASewoS2AAIHSmgh1Vvn8fchtZ7iSZtd2bD9JqNWAAJgyjEbsCkQVf14uDXJSpFbAQADAgADdwADNgQ
2023-2024,Even,TA211,192,189,3,3,SHASHANK  SHEKHAR,,,,1,29,83,59,10,7,,,,,,,,,,,,,,,,,,,MANUFACTURING PROCESSES I,AgACAgUAAyEGAASewoS2AAIHS2gh1WEuPJ4V5bY_Hu-lxmytWeKOAAJhyjEbsCkQVfVhR0e6lGSlAQADAgADdwADNgQ
2023-2024,Even,ELC113,232,232,,,SUDHARSHANA  N P,,,,17,50,73,57,22,13,,,,,,,,,,,,,,,,,,,ENGLISH LANGUAGE & COMMUNICATION (ADVANCED) (SCHEME),AgACAgUAAyEGAASewoS2AAIHTGgh1Wd-szN3xZDJMFMsqngz15SQAAJiyjEbsCkQVWr6dpQatPzHAQADAgADdwADNgQ
2023-2024,Even,EE799,230,230,,,DPGCEE,,,,,,,,,,,,,7,23,19,174,8,2,,,2,,,,,,,PHD THESIS,AgACAgUAAyEGAASewoS2AAIHTWgh1W2DOP94LNSinfQpYNOaeiTDAAJjyjEbsCkQVfD7auvIpzwpAQADAgADdwADNgQ
2023-2024,Even,EE899,35,35,,,DPGCEE,,,,,,,,,,,,,2,3,5,24,,,,,,,,,,,,MS - RESEARCH THESIS,AgACAgUAAyEGAASewoS2AAIHTmgh1XReBqrrKqOwKMqWuk_h2ZksAAJkyjEbsCkQVYiAVYc713eMAQADAgADdwADNgQ
2023-2024,Even,ELC112,363,363,,,SUDHARSHANA  N P,3,,1,7,59,134,114,39,6,,,,,,,,,,,,,,,,,,,ENGLISH LANGUAGE & COMMUNICATION (INTERMEDIATE) (SCHEME),AgACAgUAAyEGAASewoS2AAIHT2gh1Xoq-U5JMV0H_C1od2NGyBRfAAJlyjEbsCkQVdrebdWtQyJtAQADAgADdwADNgQ
2023-2024,Even,CE432A,34,34,,,Salil  Goel,,,1,,5,8,11,7,2,,,,,,,,,,,,,,,,,,,GEOGRAPHICAL INFORMATION SYSTEM (GIS),AgACAgUAAyEGAASewoS2AAIHUGgh1YDSJQ7PGcrcpMZ5bKyJP75LAAJmyjEbsCkQVVS8o_Ay73b5AQADAgADdwADNgQ
2023-2024,Even,CE462A,79,70,9,9,SAUMYEN  GUHA,5,7,,2,10,2,18,7,19,,,,,,,,,,,,,,,,,,,HYDRAULIC AND HYDROLOGIC DESIGN,AgACAgUAAyEGAASewoS2AAIHUWgh1YfPjHiaKLKc1Op3GQ8mqFCPAAJnyjEbsCkQVQ3cnECB5YzRAQADAgADdwADNgQ
2023-2024,Even,CE491A,11,10,1,1,DUGCCE,,,,,5,1,2,1,1,,,,,,,,,,,,,,,,,,,UNDER GRADUATE RESEARCH -II,AgACAgUAAyEGAASewoS2AAIHUmgh1Y3sSjPWuu6BW6ha3iGCsv0fAAJoyjEbsCkQVSVBlM9sIBP5AQADAgADdwADNgQ
2023-2024,Even,CE492A,4,3,1,1,DUGCCE,,,,,3,,,,,,,,,,,,,,,,,,,,,,,UNDER GRADUATE RESEARCH -III,AgACAgUAAyEGAASewoS2AAIHU2gh1ZONfS2JaZGKM5V6euPepP_OAAJpyjEbsCkQVfsLN1UDtpNBAQADAgADdwADNgQ
2023-2024,Even,MBA776M,90,69,21,21,Suman   Saurabh,1,,,3,13,17,22,11,2,,,,,,,,,,,,,,,,,,,MERGERS AND ACQUISITIONS,AgACAgUAAyEGAASewoS2AAIHVGgh1ZmynSMn82j4OCnrm47XFj5sAAJqyjEbsCkQVRZwckOG2RpNAQADAgADdwADNgQ
2023-2024,Even,MBA780M,60,55,5,5,Abhinava  Tripathi,,,,4,7,15,16,12,1,,,,,,,,,,,,,,,,,,,PORTFOLIO MANAGEMENT,AgACAgUAAyEGAASewoS2AAIHVWgh1Z81HsUOPeDoyokaAv710BLRAAJryjEbsCkQVTTolug9C9fvAQADAgADdwADNgQ
2023-2024,Even,ECO231,68,68,,,Sukumar  Vellakkal,,,,1,27,18,13,7,2,,,,,,,,,,,,,,,,,,,MACROECONOMICS I,AgACAgUAAyEGAASewoS2AAIHVmgh1abfw3kLD5ryjYwtjjRNI_l2AAJsyjEbsCkQVSmyUM0GKcVBAQADAgADdwADNgQ
2023-2024,Even,ECO251,78,77,1,1,Sounak  Thakur,,8,5,,12,17,11,21,3,,,,,,,,,,,,,,,,,,,ECONOMETRICS I,AgACAgUAAyEGAASewoS2AAIHV2gh1axhtrCk5HhjOlNn5QuMLowEAAJtyjEbsCkQVcVrlZY2XpfXAQADAgADdwADNgQ
2023-2024,Even,ECO311A,70,67,3,3,Sujaya  Sircar,,1,1,1,26,14,13,11,,,,,,,,,,,,,,,,,,,,DEVELOPMENT ECONOMICS,AgACAgUAAyEGAASewoS2AAIHWGgh1bJ69XLV0BntmTp5kSayt4dLAAJuyjEbsCkQVZj6MicWMzzlAQADAgADdwADNgQ
2023-2024,Even,CHM649,3,3,,,ASHIS KUMAR  PATRA,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,PRINCIPLES OF INORGANIC CHEMISTRY,AgACAgUAAyEGAASewoS2AAIHWWgh1bgrvKVsUwT1i41YsfHXbLmnAAJvyjEbsCkQVabechvcPUyjAQADAgADdwADNgQ
2023-2024,Even,CHM663,91,83,8,8,RAJA  ANGAMUTHU,4,,,10,23,7,19,11,10,,,,,,,,,,,,,,,,,,,ELECTRON PROTON AND HYDRIDES,AgACAgUAAyEGAASewoS2AAIHWmgh1b_rF_gI2KD_cCy65oKGGztGAAJwyjEbsCkQVRlks_KS-JX9AQADAgADdwADNgQ
2023-2024,Even,CHE679,12,12,,,INDRANIL  SAHA DALAL,,,,,8,3,1,,,,,,,,,,,,,,,,,,,,,SPECIAL TOPICS,AgACAgUAAyEGAASewoS2AAIHW2gh1cUpNsoRUFl3L4BymcOlsfzcAAJxyjEbsCkQVUx1GfXq3bvaAQADAgADdwADNgQ
2023-2024,Even,CHE684,47,33,14,13,RAGHVENDRA  SINGH,,,,2,18,5,5,1,2,,,,,,,,,,,,,,,,,,,AN INTRODUCTION TO SYSTEMS BIOLOGY,AgACAgUAAyEGAASewoS2AAIHXGgh1cw21hPRs2eNgiz5eHeJaW_OAAJyyjEbsCkQVdACc7QZVhkjAQADAgADdwADNgQ
2023-2024,Even,ECO712,124,115,9,9,Sanjiv  Kumar,,,,4,23,33,30,24,1,,,,,,,,,,,,,,,,,,,INTERNATIONAL FINANCE AND INVESTMENT,AgACAgUAAyEGAASewoS2AAIHXWgh1dJxEhP15wQI4O1iF9ItWdJHAAJzyjEbsCkQVRERb5JZQvvrAQADAgADdwADNgQ
2023-2024,Even,ECO413A,52,52,,,P MURALI  PRASAD,20,5,1,1,2,2,4,3,14,,,,,,,,,,,,,,,,,,,INDIAN ECONOMIC PROBLEMS,AgACAgUAAyEGAASewoS2AAIHXmgh1dguKgGsOAmbuBP2mv0rwxcWAAJ0yjEbsCkQVdPvlIaMG7OjAQADAgADdwADNgQ
2023-2024,Even,AE421A,69,69,,,Subrahmanyam  Saderla,13,5,,1,11,6,8,11,14,,,,,,,,,,,,,,,,,,,EXPERIMENTS IN FLIGHT MECHANICS,AgACAgUAAyEGAASewoS2AAIHX2gh1d6yiguHdcAOZ7nYgA7UhVItAAJ1yjEbsCkQVQxb8g4beMuDAQADAgADdwADNgQ
2023-2024,Even,AE471A,47,44,3,3,DUGCAE,,,1,4,12,14,12,1,,,,,,,,,,,,,,,,,,,,B TECH PROJECT,AgACAgUAAyEGAASewoS2AAIHYGgh1eXjgS3NOy43AAFmdca-cPvfLQACdsoxG7ApEFVq8uvi8ZpLRwEAAwIAA3cAAzYE
2023-2024,Even,EE600,33,30,3,3,AJIT K CHATURVEDI,,,1,,15,7,5,2,,,,,,,,,,,,,,,,,,,,MATHEMATICAL STRUCTURES OF SIGNALS & SYSTEMS,AgACAgUAAyEGAASewoS2AAIHYWgh1evfO9GrvZjkhcFZxC93qREkAAJ3yjEbsCkQVQv7wawmtWWhAQADAgADdwADNgQ
2023-2024,Even,CHE212,111,111,,,Akash  Choudhary,4,5,,4,9,22,22,29,16,,,,,,,,,,,,,,,,,,,HEAT TRANSFER,AgACAgUAAyEGAASewoS2AAIHYmgh1fE0F2RvPXViCdR2VPEk6I1dAAJ4yjEbsCkQVQ20HeomaYL2AQADAgADdwADNgQ
2023-2024,Even,CE352A,154,154,,,RAJESH  SATHIYAMOORTHY,42,14,8,,2,2,10,30,38,8,,,,,,,,,,,,,,,,,,FOUNDATION DESIGN,AgACAgUAAyEGAASewoS2AAIHY2gh1fcGLyeiwmrqLhSht8Z_aqlyAAJ5yjEbsCkQVeK7U2TxMUBOAQADAgADdwADNgQ
2023-2024,Even,CS682,57,39,18,18,RAJAT  MITTAL,1,,,1,3,10,12,5,7,,,,,,,,,,,,,,,,,,,QUANTUM COMPUTING,AgACAgUAAyEGAASewoS2AAIHZGgh1f4Fz0wYDRoTgcv1ZD1KND3YAAJ6yjEbsCkQVXoCjWHXaTmbAQADAgADdwADNgQ
2023-2024,Even,CS687,23,21,2,2,SATYADEV  NANDAKUMAR,,,,2,9,6,2,,2,,,,,,,,,,,,,,,,,,,ALGORITHMIC INFORMATION THEORY,AgACAgUAAyEGAASewoS2AAIHZWgh1gSzVIlKr8Py5EaJJTx3EGApAAJ7yjEbsCkQVQMaOxD8HKNmAQADAgADdwADNgQ
2023-2024,Even,CS698Z,6,5,1,1,RAGHUNATH  TEWARI,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,LINUX KERNEL PROGRAMMING,AgACAgUAAyEGAASewoS2AAIHZmgh1goTuNyCIOWtTFSE3FTgKZD4AAJ8yjEbsCkQVVERkT1XEDKEAQADAgADdwADNgQ
2023-2024,Even,HSS401A,75,70,5,5,T  RAVICHANDRAN,,1,1,28,27,7,3,,3,,,,,,,,,,,,,,,,,,,SOFT SKILLS AND PERSONALITY DEVELOPMENT,AgACAgUAAyEGAASewoS2AAIHZ2gh1hCDhQABBcDzSSG8Bj94Dm5KqwACfcoxG7ApEFU3km9RfP2dPQEAAwIAA3cAAzYE
2023-2024,Even,MSE312A,86,86,,,DEEPAK GUPTA,,,,2,21,19,30,9,5,,,,,,,,,,,,,,,,,,,FUNCTIONAL MATERIALS LABORATORY,AgACAgUAAyEGAASewoS2AAIHaGgh1hY8NglxE8yNkNLKfiCPCgv8AAJ-yjEbsCkQVUOfNjWkomU-AQADAgADdwADNgQ
