Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2024-2025,Odd,CGS401,100,80,20,20,DEVPRIYA  KUMAR,8,8,1,2,14,12,16,9,7,3,,,,,,,,,,,,,,,,,,INTRODUCTION TO COGNITIVE SCIENCE,AgACAgUAAyEGAASewoS2AAMTaCGoPH5YvWvTLrbtxRrS6WqP5qMAAr_CMRuwKRBVKptRYMvX9HABAAMCAAN3AAM2BA
2024-2025,Odd,CE331P,1,1,,,Salil  Goel,,,,,,,1,,,,,,,,,,,,,,,,,,,,,GEOINFORMATICS LAB,AgACAgUAAyEGAASewoS2AAMUaCGoQm0bxli4lN3vJVTdIbfVqEUAAsDCMRuwKRBVkCRNCsALWpYBAAMCAAN3AAM2BA
2024-2025,Odd,CE736,7,6,1,1,Gourabananda  Pahar,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,FLOOD MODELLING,AgACAgUAAyEGAASewoS2AAMVaCGoSD165UytImT4PJrQtKEbk0IAAsHCMRuwKRBVAAH_z35GmZHzAQADAgADdwADNgQ
2024-2025,Odd,CE371,89,78,11,11,SUPARNO  MUKHOPADHYAY,1,11,7,,6,7,27,3,12,4,,,,,,,,,,,,,,,,,,DESIGN OF REINFORCED CONCRETE STRUCTURES,AgACAgUAAyEGAASewoS2AAMWaCGoT72uFuvkEST1IW6vMdfeWGMAAsLCMRuwKRBVab0NZfVTkpYBAAMCAAN3AAM2BA
2024-2025,Odd,CE441B,152,151,1,1,SUDHIR  MISRA,2,32,5,1,8,5,49,10,39,,,,,,,,,,,,,,,,,,,CONSTRUCTION MANAGEMENT,AgACAgUAAyEGAASewoS2AAMXaCGoVVSP8IHDI0DAkOCea0bKGecAAsPCMRuwKRBVbGc_5rAK6gMBAAMCAAN3AAM2BA
2024-2025,Odd,CE640,46,30,16,16,SUDHIR  MISRA,4,,2,,7,3,6,,8,,,,,,,,,,,,,,,,,,,INFRASTRUCTURE ASSET MANAGEMENT,AgACAgUAAyEGAASewoS2AAMYaCGoW30Uo6YgPpJYdLVrQlcx2hcAAsTCMRuwKRBVGgItqxDwe4cBAAMCAAN3AAM2BA
2024-2025,Odd,CE784,41,37,4,4,Pranamesh  Chakraborty,1,3,,,5,6,8,4,4,,4,2,,,,,,,,,,,,,,,,MACHINE LEARNING AND DATA ANALYTICS FOR CIVIL ENGINEERING APPLICATIONS,AgACAgUAAyEGAASewoS2AAMZaCGoYQdjqMKxWQFuFXGx4BI9GeUAAsXCMRuwKRBVkKqQDJHqdQ0BAAMCAAN3AAM2BA
2024-2025,Odd,CE678,5,5,,,Balaji  Devaraju,1,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,INTRODUCTION TO GEODESY,AgACAgUAAyEGAASewoS2AAMaaCGoaJnJQpcH4J1VDturgIOB-0QAAsbCMRuwKRBVNbW85oMVhC4BAAMCAAN3AAM2BA
2024-2025,Odd,SOC470,71,70,1,1,BINAY  KUMAR  PATTNAIK,14,4,4,7,3,5,8,12,13,,,,,,,,,,,,,,,,,,,SOCIOLOGY OF DEVELOPMENT,AgACAgUAAyEGAASewoS2AAMbaCGobj1H4VD85DcxgvRRmvWzKigAAsfCMRuwKRBVtGS1UI55L_kBAAMCAAN3AAM2BA
2024-2025,Odd,CHE679,9,9,,,Raghavendra  Ragipani,,,,1,2,3,2,,1,,,,,,,,,,,,,,,,,,,SPECIAL TOPICS,AgACAgUAAyEGAASewoS2AAMcaCGodFWdBoxkEkvGuDov21to9XsAAsjCMRuwKRBVAi5A8PgFxFIBAAMCAAN3AAM2BA
